company_name,company_index,label,confidence,description
N/A,2,Bakery Production Services,0.5769873261451721,Loidholdhof Integrative Hofgemeinschaft is a company that offers a range of services and products to
N/A,7,Commercial Construction Services,0.5086877346038818,"Corrugated Beam Form Ltd is a company based in Walsall, England, specializing in the supply of concr"
N/A,8,Paper Production Services,0.5918086767196655,"The company specializes in the production and distribution of packaging materials, including cardboa"
N/A,9,Catering Services,0.508870005607605,Indira Caterz And Event Managerzz is a company categorized under restaurant supply stores. It is loc
N/A,15,Pet Food Manufacturing,0.5189369320869446,DOO Bački Petrovac is a Slovakian company that specializes in the production of raw materials and th
N/A,24,Furniture Manufacturing,0.5207717418670654,SellerGroup is a company that specializes in promotional and office products. They offer unique offi
N/A,28,Marketing Services,0.5389750003814697,Tobaccotoday is a full-service marketing and advertising agency that has been partnering with client
N/A,28,Digital Marketing Services,0.5339629650115967,Tobaccotoday is a full-service marketing and advertising agency that has been partnering with client
N/A,28,Online Marketing Services,0.5330810546875,Tobaccotoday is a full-service marketing and advertising agency that has been partnering with client
N/A,30,Alarm Installation Services,0.6425924301147461,The company specializes in the professional installation of home safety devices and detectors. [] Se
N/A,30,Fire Safety Equipment Services,0.581537127494812,The company specializes in the professional installation of home safety devices and detectors. [] Se
N/A,30,Fire Protection System Services,0.5100492238998413,The company specializes in the professional installation of home safety devices and detectors. [] Se
N/A,37,Interior Design Services,0.657935380935669,The company is a design firm that specializes in developing and implementing ideas. They offer desig
N/A,37,Graphic Design Services,0.5264778137207031,The company is a design firm that specializes in developing and implementing ideas. They offer desig
N/A,37,Branding Services,0.519597053527832,The company is a design firm that specializes in developing and implementing ideas. They offer desig
N/A,41,Volunteer Services,0.5606913566589355,"W.A.Y.S. Helping Hands is a non-profit organization based in Sacramento, California that aims to emp"
N/A,43,Property Management Services,0.5151580572128296,Akyom is a company that specializes in traditional and contemporary house construction in the Tarn r
N/A,47,Digital Marketing Services,0.519717812538147,The company provides a platform that allows users to choose whether or not to use cookies or related
N/A,47,Online Marketing Services,0.5090913772583008,The company provides a platform that allows users to choose whether or not to use cookies or related
N/A,48,Financial Services,0.5241471529006958,FinTech PRO is a team of experienced Chartered & Certified Accountants and Advisors that provides ac
N/A,49,Pharmaceutical Manufacturing,0.6275518536567688,"KB Sports (China) Co., Ltd. is a high-tech enterprise that specializes in the research, development,"
N/A,49,Chemical Manufacturing,0.5225993990898132,"KB Sports (China) Co., Ltd. is a high-tech enterprise that specializes in the research, development,"
N/A,52,Confectionery Manufacturing,0.5152453780174255,Mago Indústria is a Brazilian confectionery company that has been in the market for over 30 years. T
N/A,77,Fire Protection System Services,0.6307284235954285,Apex Fire Solutions is a company that specializes in conducting fire risk assessments and remediatio
N/A,77,Fire Safety Equipment Services,0.6084808111190796,Apex Fire Solutions is a company that specializes in conducting fire risk assessments and remediatio
N/A,80,E-Commerce Services,0.5181982517242432,The company is an online store that offers a wide range of products in various categories such as fa
N/A,86,Air Duct Cleaning Services,0.5362898111343384,Boutique Traitement de l'air is an online store that specializes in air purification products. They 
N/A,90,Ink Production Services,0.5392471551895142,"TODO is a wholesaler of consumables for both original and alternative printing devices, specializing"
N/A,90,Printing Services,0.5101644992828369,"TODO is a wholesaler of consumables for both original and alternative printing devices, specializing"
N/A,96,Bakery Production Services,0.5011470913887024,"The Castanha Caramelada is a company based in Teresina, Piauí, Brazil, specializing in the supply of"
N/A,104,Water Treatment Services,0.5224058628082275,"Jiangsu Jinteng Environmental Protection Technology Co., Ltd. is a Chinese company that specializes "
N/A,105,Gas Manufacturing Services,0.5251371264457703,"The company specializes in the production of custom metal products, with 16 years of experience in t"
N/A,105,Plastic Manufacturing,0.520031213760376,"The company specializes in the production of custom metal products, with 16 years of experience in t"
N/A,105,Welding Services,0.5141118764877319,"The company specializes in the production of custom metal products, with 16 years of experience in t"
N/A,106,Gardening Services,0.7265365123748779,They specialize in providing comprehensive services for gardening technology. ['Comprehensive Servic
N/A,106,Landscaping Services,0.6017303466796875,They specialize in providing comprehensive services for gardening technology. ['Comprehensive Servic
N/A,106,Agricultural Equipment Services,0.5777640342712402,They specialize in providing comprehensive services for gardening technology. ['Comprehensive Servic
N/A,115,Canvas Manufacturing,0.6011468172073364,Bellarine Canvas is a company that specializes in manufacturing and repairing canvas and vinyl produ
N/A,115,Tent Manufacturing Services,0.5007708072662354,Bellarine Canvas is a company that specializes in manufacturing and repairing canvas and vinyl produ
N/A,122,Fire Safety Equipment Services,0.5337557792663574,"The Freiwillige Feuerwehr Borkum is a volunteer fire department located in Borkums, Germany. They of"
N/A,122,Fire Protection System Services,0.5031782984733582,"The Freiwillige Feuerwehr Borkum is a volunteer fire department located in Borkums, Germany. They of"
N/A,123,Food Processing Services,0.5041330456733704,Florida. The restaurant offers a menu of food items that can be ordered online directly from their w
N/A,129,Window and Door Manufacturing,0.5956225991249084,Heating Enclosures Shop is a company that specializes in high-quality entrance doors made in Germany
N/A,129,Windows and Doors Installation,0.5048457384109497,Heating Enclosures Shop is a company that specializes in high-quality entrance doors made in Germany
N/A,135,Advertising Services,0.510170578956604,Agência Lunar is a Brazilian company that specializes in Pay-Per-Use Traffic and Online Sales. They 
N/A,135,Digital Marketing Services,0.5052937269210815,Agência Lunar is a Brazilian company that specializes in Pay-Per-Use Traffic and Online Sales. They 
N/A,136,Media Production Services,0.5575906038284302,"The company is a production company that specializes in storytelling, directing, screenwriting, and "
N/A,138,Property Management Services,0.6721175909042358,Fenix Management Services is a professional property management company that offers comprehensive se
N/A,139,Software Manufacturing,0.660235583782196,"The company is a software solution vendor that specializes in the electronic circuit industry, focus"
N/A,143,Corporate Training Services,0.5216776132583618,"All About People is a company that offers training, coaching, and consulting services to young profe"
N/A,143,Consulting Services,0.5138859152793884,"All About People is a company that offers training, coaching, and consulting services to young profe"
N/A,143,Management Consulting,0.508268415927887,"All About People is a company that offers training, coaching, and consulting services to young profe"
N/A,146,Cable Installation Services,0.5066964626312256,LATG Cable is a cable company that specializes in the supply and installation of electrical equipmen
N/A,147,Pharmaceutical Manufacturing,0.6339452862739563,Relax Biotech Private Limited is a professionally managed pharmaceutical company that operates an of
N/A,151,Livestock Dealer Services,0.5282807946205139,"Eiríksstaððstaðir is a company that specializes in horse and sheep breeding, as well as wool product"
N/A,154,Gardening Services,0.5561902523040771,"LINEX Garden is a company that specializes in providing durable, maneuverable, lightweight, and wate"
N/A,156,Insurance Services,0.5224031209945679,Family Life Anchored is a company that specializes in providing insurance and financial solutions fo
N/A,158,Waste Management Services,0.5249360799789429,"Tokyo Environmental Industry Co., Ltd. is a Japanese company that has been providing environmental m"
N/A,158,Building Cleaning Services,0.5010717511177063,"Tokyo Environmental Industry Co., Ltd. is a Japanese company that has been providing environmental m"
N/A,159,Brewery Operations,0.5846056342124939,Đại Lý Bia Nguyễn - Nhân Phân Đôn Phối Bia is a company that specializes in the production and distr
N/A,167,Insurance Services,0.5303894877433777,Amy Underwriting is a French insurance company that specializes in providing insurance products and 
N/A,170,Environmental Consulting,0.5073587894439697,Carbon Removal Canada is a project of the Clean Prosperity Foundation that focuses on promoting incl
N/A,176,Residential Electrical Services,0.5188522934913635,"The company is an electrical construction firm with over 20 years of experience in residential, indu"
N/A,178,Dairy Production Services,0.5995679497718811,The company provides information and resources for individuals interested in learning how to make ch
N/A,181,Media Production Services,0.5024289488792419,A.B.P. Production is a company that provides OOH hosting services and support for ABP actions. ['Inf
N/A,186,Carpet Manufacturing Services,0.6623064279556274,Unknow Carpet Co. is a company that specializes in carpet cleaning services. They offer a range of c
N/A,191,Building Cleaning Services,0.5430192947387695,"The company is an industrial towel washing service based in Barcelona, Spain. They offer a complete "
N/A,195,Dairy Production Services,0.5768964290618896,"Haleakala Creamery Maui is a family-owned farm located in Kula, Maui that specializes in handcrafted"
N/A,197,Excavation Services,0.5116173624992371,The Aggregates Bid Network is a company that operates in the aggregates industry. They provide bid i
N/A,197,Well Drilling Services,0.5054206252098083,The Aggregates Bid Network is a company that operates in the aggregates industry. They provide bid i
N/A,199,Agricultural Equipment Services,0.6322684288024902,Harishan Agro Pvt Ltd is an Indian-based company that specializes in manufacturing high-quality Indi
N/A,199,Agricultural Machinery Installation,0.5437119007110596,Harishan Agro Pvt Ltd is an Indian-based company that specializes in manufacturing high-quality Indi
N/A,202,Environmental Health Services,0.5356050729751587,National Environmental Services and Technologies (Nest) is a Qatari company that specializes in Envi
N/A,205,Catering Services,0.5621792078018188,Hotel & Restaurant Supply is a company that has been operating in the hotel and restaurant industry 
N/A,213,Boiler Repair Services,0.502223014831543,"Maier Haustechnik is a German company that provides heating services for regenerative energy, consul"
N/A,218,Apparel Manufacturing,0.508187472820282,Alert 23 is a company that specializes in the production and sale of polo shirts. The shirts are des
N/A,221,Well Maintenance Services,0.5723758935928345,Ready Repair is a company that specializes in providing quick repair services for power tools and ga
N/A,221,General Handyman Services,0.5143756866455078,Ready Repair is a company that specializes in providing quick repair services for power tools and ga
N/A,221,Road Maintenance Services,0.5126134753227234,Ready Repair is a company that specializes in providing quick repair services for power tools and ga
N/A,228,Media Production Services,0.5551754236221313,"The company specializes in audio and video production, voice over services, website design and reali"
N/A,237,Furniture Manufacturing,0.5406888127326965,"Tiffany is a furniture and equipment manufacturer based in Turkey, belonging to the GK Karaca Group."
N/A,238,Residential Roofing Services,0.6462070941925049,"Barrier Roof Systems is a full-service roofing company based in Katy, Texas. They specialize in stor"
N/A,238,Roofing Services with Heat Application,0.5401270389556885,"Barrier Roof Systems is a full-service roofing company based in Katy, Texas. They specialize in stor"
N/A,239,Physical Therapy Services,0.534079909324646,Health and Beauty SPA is a relaxation and alternative therapies center specializing in alternative m
N/A,239,Health Promotion Services,0.5042825937271118,Health and Beauty SPA is a relaxation and alternative therapies center specializing in alternative m
N/A,241,Agricultural Equipment Services,0.5241840481758118,"AgriSouth is a company that works with farmers and investors in various agricultural areas, with a f"
N/A,243,Wood Product Manufacturing,0.5069602727890015,"PLWD is a company that specializes in plywood products for IKEA's Metod, Faktum, Bestå, PAX, and Pla"
N/A,248,Water Treatment Services,0.5932008028030396,H2O International SRL is a company that specializes in providing equipment for water softening and d
N/A,252,Textile Manufacturing Services,0.5226839184761047,"The company specializes in international trade, specifically in the import and export of various pro"
N/A,252,Paper Production Services,0.5164662003517151,"The company specializes in international trade, specifically in the import and export of various pro"
N/A,256,Millwork Services,0.5226248502731323,"Jaffa Machine Ltd. is a metal fabrication company that has been providing design services, quality m"
N/A,256,Welding Services,0.5047615766525269,"Jaffa Machine Ltd. is a metal fabrication company that has been providing design services, quality m"
N/A,257,Non-Alcoholic Beverage Manufacturing,0.5642979741096497,MGM is a company that specializes in the production and distribution of alcoholic beverages. They of
N/A,257,Accessory Manufacturing,0.517218828201294,MGM is a company that specializes in the production and distribution of alcoholic beverages. They of
N/A,263,Meat Processing Services,0.5384818315505981,"Kuusamo Meat and Packaging Service is a small family business located in Kuusamossa, Finland that sp"
N/A,264,Media Production Services,0.544255256652832,Qonrad Media is a company that specializes in video production and editing services. They offer a ra
N/A,269,Paper Production Services,0.5442215800285339,"The company is a business that specializes in the production, manufacturing, and banking of househol"
N/A,270,Media Production Services,0.5045688152313232,"MKV Entertainment is a production house based in Raipur, Chhattisgarh, specializing in television co"
N/A,274,Ice Production Services,0.5038918256759644,"AGD Heating, Cooling, and Commercial Refrigeration Repair is a company that specializes in commercia"
N/A,278,Millwork Services,0.5569417476654053,MMTS 06 is a company that specializes in industrial and technical maintenance services. They emphasi
N/A,278,Well Maintenance Services,0.5383617877960205,MMTS 06 is a company that specializes in industrial and technical maintenance services. They emphasi
N/A,278,Road Maintenance Services,0.5342025756835938,MMTS 06 is a company that specializes in industrial and technical maintenance services. They emphasi
N/A,283,Paper Production Services,0.5427864789962769,"Royal Paper Box Company is a leading provider of folding carton packaging solutions, with over 75 ye"
N/A,284,Furniture Manufacturing,0.6102928519248962,"Concept Seating is a UK-based company that specializes in contract upholstery manufacturing, particu"
N/A,286,Road Maintenance Services,0.5106282830238342,"Traffic Troopers, Inc. is a company that specializes in providing Highway Maintenance, Traffic Contr"
N/A,296,Bakery Production Services,0.5585664510726929,"Fabulous Senses is a company based in Kuala Lumpur, Malaysia that specializes in selling sourdough b"
N/A,305,Textile Manufacturing Services,0.523320198059082,"Xiamen Sinboo Technology Co., Ltd Sinofy (fuJian)Textile Chemical Co., LTD is a Chinese company that"
N/A,307,Travel Services,0.5522587299346924,The company is a taxi service provider based in Coehilly that offers online taxi services in Cohilly
N/A,315,Welding Services,0.5361064076423645,A-1 Machine and Fabrication is a full-service machine and fabrication shop that specializes in indus
N/A,315,Field Welding Services,0.5089069604873657,A-1 Machine and Fabrication is a full-service machine and fabrication shop that specializes in indus
N/A,324,Environmental Consulting,0.6341652274131775,"Ecosistema is a company that designs and manages actions, tools, and structures for the conservation"
N/A,324,Environmental Health Services,0.5409210920333862,"Ecosistema is a company that designs and manages actions, tools, and structures for the conservation"
N/A,324,Landscaping Services,0.522186815738678,"Ecosistema is a company that designs and manages actions, tools, and structures for the conservation"
N/A,336,E-Commerce Services,0.560926616191864,The company is a data science-based second-hand wholesale sourcing business that specializes in buyi
N/A,339,Waste Management Services,0.6107333898544312,"World Waste to Energy, LLC is a private organization that specializes in converting waste plastics t"
N/A,340,Printing Services,0.6218336820602417,Fleet MPS is a UK-based company that offers managed print solutions and document management services
N/A,340,Ink Production Services,0.5135155916213989,Fleet MPS is a UK-based company that offers managed print solutions and document management services
N/A,342,Carpet Manufacturing Services,0.5078727006912231,"The company specializes in the production of high-quality powder metallurgical products, including s"
N/A,342,Sheet Metal Services,0.5037132501602173,"The company specializes in the production of high-quality powder metallurgical products, including s"
N/A,345,Paper Production Services,0.5718137621879578,"Zhejiang Huahua Paper Machinery Co., Ltd. is a Chinese company that specializes in the production of"
N/A,372,Food Processing Services,0.5203819274902344,"PinCo is a food producer based in Bakersfield, California, United States. ['Sourcing Agreements', 'S"
N/A,376,Gas Manufacturing Services,0.5179203748703003,"Barossa Industries is a leading manufacturer and supplier of mechanical equipment in Iran, offering "
N/A,379,Waste Management Services,0.5003043413162231,"Ecotransport is an Italian company that has been providing services to individuals, businesses, and "
N/A,382,Well Drilling Services,0.5985862016677856,"Canuck Drilling Systems Ltd is a supplier to the exploration drilling industry, with over 30 years o"
N/A,382,Directional Drilling Services,0.5701265335083008,"Canuck Drilling Systems Ltd is a supplier to the exploration drilling industry, with over 30 years o"
N/A,390,Marketing Services,0.5144855976104736,"VENUSMSIA ENTERPRISE is a marketing agency based in Tebrau, Johor, Malaysia. ['In-store Shopping', '"
N/A,391,Window and Door Manufacturing,0.5947712659835815,"Xuongcuacuon is a leading brand in the door hardware distribution business, specializing in sliding "
N/A,392,Wood Product Manufacturing,0.5491222143173218,"A4 Particle Board is a leading supplier of premium particle board and MDF Board, catering to the con"
N/A,397,Textile Manufacturing Services,0.5938905477523804,"138°E Textile is a textile production company located in Nishikata-cho, a textile area in eastern Ya"
N/A,397,Apparel Manufacturing,0.5199288129806519,"138°E Textile is a textile production company located in Nishikata-cho, a textile area in eastern Ya"
N/A,403,Gas Manufacturing Services,0.5370736122131348,Risparmia is a company that specializes in the sale of light and gas boilers. They offer a service t
